date,cumulated_confirmed,daily_confirmed,daily_recoverd,daily_death
2020/1/22,127,62,2,0
2020/1/23,281,154,1,1
2020/1/24,558,277,3,1
2020/1/25,923,365,1,2
2020/1/26,1321,398,0,0
2020/1/27,1801,480,6,2
2020/1/28,2420,619,10,1
2020/1/29,3125,705,11,1
2020/1/30,3886,761,21,1
2020/1/31,4638,752,22,1
2020/2/1,5306,668,36,0
2020/2/2,6028,722,67,1
2020/2/3,6916,888,56,0
2020/2/4,7646,730,136,0
2020/2/5,8353,707,148,3
2020/2/6,9049,696,203,4
2020/2/7,9593,544,212,5
2020/2/8,10098,505,275,8
2020/2/9,10540,442,276,6
2020/2/10,10910,370,288,5
2020/2/11,11287,377,327,3
2020/2/12,11598,311,369,12
2020/2/13,11865,267,391,5
2020/2/14,12086,221,461,4
2020/2/15,12251,165,463,3
2020/2/16,12366,115,420,5
2020/2/17,12447,81,485,5
2020/2/18,12503,56,558,4
2020/2/19,12545,42,570,6
2020/2/20,12803,258,658,3
2020/2/21,12834,31,626,3
2020/2/22,12852,18,487,1
2020/2/23,12863,11,307,1
2020/2/24,12872,9,573,3
2020/2/25,12877,5,364,0
2020/2/26,12901,24,462,3
2020/2/27,12910,9,419,3
2020/2/28,12914,4,393,2
2020/2/29,12917,3,331,1
